ActiveIngredient,Category ID,Category,Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on
CICLESONIDE,G74,List of FDA Approved Drugs,CICLESONIDE,CICLESONIDE - NDA,2006-10-20,2006-10-20,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
CILASTATIN; IMIPENEM; RELEBACTAM,G74,List of FDA Approved Drugs,CILASTATIN; IMIPENEM; RELEBACTAM,CILASTATIN; IMIPENEM; RELEBACTAM - NDA,2019-07-16,2019-07-16,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
CILOSTAZOL,G74,List of FDA Approved Drugs,CILOSTAZOL,CILOSTAZOL - NDA,1999-01-15,1999-01-15,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
CINACALCET,G74,List of FDA Approved Drugs,CINACALCET,CINACALCET - NDA,2004-03-08,2004-03-08,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
CITALOPRAM HYDROBROMIDE,G74,List of FDA Approved Drugs,CITALOPRAM HYDROBROMIDE,CITALOPRAM HYDROBROMIDE - NDA,1998-07-17,1998-07-17,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
CITRIC ACID; MAGNESIUM OXIDE; PICOSULFATE,G74,List of FDA Approved Drugs,CITRIC ACID; MAGNESIUM OXIDE; PICOSULFATE,CITRIC ACID; MAGNESIUM OXIDE; PICOSULFATE - NDA,2012-07-16,2012-07-16,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
CLASCOTERONE,G74,List of FDA Approved Drugs,CLASCOTERONE,CLASCOTERONE - NDA,2020-08-26,2020-08-26,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
CLEVIDIPINE,G74,List of FDA Approved Drugs,CLEVIDIPINE,CLEVIDIPINE - NDA,2008-08-01,2008-08-01,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
CLOBAZAM,G74,List of FDA Approved Drugs,CLOBAZAM,CLOBAZAM - NDA,2011-10-21,2011-10-21,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
CLOFARABINE,G74,List of FDA Approved Drugs,CLOFARABINE,CLOFARABINE - NDA,2004-12-28,2004-12-28,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
COBICISTAT; ELVITEGRAVIR; EMTRICITABINE; TENOFOVIR ALAFENAMIDE,G74,List of FDA Approved Drugs,COBICISTAT; ELVITEGRAVIR; EMTRICITABINE; TENOFOVIR ALAFENAMIDE,COBICISTAT; ELVITEGRAVIR; EMTRICITABINE; TENOFOVIR ALAFENAMIDE - NDA,2015-11-05,2015-11-05,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
COBICISTAT; ELVITEGRAVIR; EMTRICITABINE; TENOFOVIR DISOPROXIL,G74,List of FDA Approved Drugs,COBICISTAT; ELVITEGRAVIR; EMTRICITABINE; TENOFOVIR DISOPROXIL,COBICISTAT; ELVITEGRAVIR; EMTRICITABINE; TENOFOVIR DISOPROXIL - NDA,2012-08-27,2012-08-27,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
COBIMETINIB,G74,List of FDA Approved Drugs,COBIMETINIB,COBIMETINIB - NDA,2015-11-10,2015-11-10,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
COLESEVELAM,G74,List of FDA Approved Drugs,COLESEVELAM,COLESEVELAM - NDA,2000-05-26,2000-05-26,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
COLLAGENASE CLOSTRIDIUM HISTOLYTICUM,G74,List of FDA Approved Drugs,COLLAGENASE CLOSTRIDIUM HISTOLYTICUM,COLLAGENASE CLOSTRIDIUM HISTOLYTICUM - BLA,2010-02-02,2010-02-02,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
CONIVAPTAN,G74,List of FDA Approved Drugs,CONIVAPTAN,CONIVAPTAN - NDA,2005-12-29,2005-12-29,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
COPANLISIB DIHYDROCHLORIDE,G74,List of FDA Approved Drugs,COPANLISIB DIHYDROCHLORIDE,COPANLISIB DIHYDROCHLORIDE - NDA,2017-09-14,2017-09-14,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
COPPER CU-64 DOTATATE,G74,List of FDA Approved Drugs,COPPER CU-64 DOTATATE,COPPER CU-64 DOTATATE - NDA,2020-09-03,2020-09-03,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
CRISABOROLE,G74,List of FDA Approved Drugs,CRISABOROLE,CRISABOROLE - NDA,2016-12-14,2016-12-14,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
CRIZANLIZUMAB-TMCA,G74,List of FDA Approved Drugs,CRIZANLIZUMAB-TMCA,CRIZANLIZUMAB-TMCA - BLA,2019-11-15,2019-11-15,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
CRIZOTINIB,G74,List of FDA Approved Drugs,CRIZOTINIB,CRIZOTINIB - NDA,2011-08-26,2011-08-26,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
CROFELEMER,G74,List of FDA Approved Drugs,CROFELEMER,CROFELEMER - NDA,2012-12-31,2012-12-31,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
DABIGATRAN ETEXILATE,G74,List of FDA Approved Drugs,DABIGATRAN ETEXILATE,DABIGATRAN ETEXILATE - NDA,2010-10-19,2010-10-19,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
DABRAFENIB,G74,List of FDA Approved Drugs,DABRAFENIB,DABRAFENIB - NDA,2013-05-29,2013-05-29,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
DACLATASVIR DIHYDROCHLORIDE,G74,List of FDA Approved Drugs,DACLATASVIR DIHYDROCHLORIDE,DACLATASVIR DIHYDROCHLORIDE - NDA,2015-07-24,2015-07-24,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
DACLIZUMAB,G74,List of FDA Approved Drugs,DACLIZUMAB,DACLIZUMAB - BLA,2016-05-27,2016-05-27,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
DACOMITINIB,G74,List of FDA Approved Drugs,DACOMITINIB,DACOMITINIB - NDA,2018-09-27,2018-09-27,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
DALBAVANCIN,G74,List of FDA Approved Drugs,DALBAVANCIN,DALBAVANCIN - NDA,2014-05-23,2014-05-23,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
DALFAMPRIDINE,G74,List of FDA Approved Drugs,DALFAMPRIDINE,DALFAMPRIDINE - NDA,2010-01-22,2010-01-22,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
DAPAGLIFLOZIN,G74,List of FDA Approved Drugs,DAPAGLIFLOZIN,DAPAGLIFLOZIN - NDA,2014-01-08,2014-01-08,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
DAPRODUSTAT,G74,List of FDA Approved Drugs,DAPRODUSTAT,DAPRODUSTAT - NDA,2023-02-01,2023-02-01,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
DAPTOMYCIN,G74,List of FDA Approved Drugs,DAPTOMYCIN,DAPTOMYCIN - NDA,2003-09-12,2003-09-12,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
DARATUMUMAB,G74,List of FDA Approved Drugs,DARATUMUMAB,DARATUMUMAB - BLA,2015-11-16,2015-11-16,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
DARBEPOETIN ALFA,G74,List of FDA Approved Drugs,DARBEPOETIN ALFA,DARBEPOETIN ALFA - BLA,2001-09-17,2001-09-17,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
DARIDOREXANT,G74,List of FDA Approved Drugs,DARIDOREXANT,DARIDOREXANT - NDA,2022-01-07,2022-01-07,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
DARIFENACIN HYDROBROMIDE,G74,List of FDA Approved Drugs,DARIFENACIN HYDROBROMIDE,DARIFENACIN HYDROBROMIDE - NDA,2004-12-22,2004-12-22,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
DAROLUTAMIDE,G74,List of FDA Approved Drugs,DAROLUTAMIDE,DAROLUTAMIDE - NDA,2019-07-30,2019-07-30,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
DARUNAVIR,G74,List of FDA Approved Drugs,DARUNAVIR,DARUNAVIR - NDA,2006-06-23,2006-06-23,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
"DASABUVIR; OMBITASVIR, PARITAPREVIR, RITONAVIR",G74,List of FDA Approved Drugs,"DASABUVIR; OMBITASVIR, PARITAPREVIR, RITONAVIR","DASABUVIR; OMBITASVIR, PARITAPREVIR, RITONAVIR - NDA",2014-12-19,2014-12-19,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
DASATINIB,G74,List of FDA Approved Drugs,DASATINIB,DASATINIB - NDA,2006-06-28,2006-06-28,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
DASIGLUCAGON,G74,List of FDA Approved Drugs,DASIGLUCAGON,DASIGLUCAGON - NDA,2021-03-22,2021-03-22,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
DAXIBOTULINUMTOXINA-LANM,G74,List of FDA Approved Drugs,DAXIBOTULINUMTOXINA-LANM,DAXIBOTULINUMTOXINA-LANM - BLA,2022-09-07,2022-09-07,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
DECITABINE,G74,List of FDA Approved Drugs,DECITABINE,DECITABINE - NDA,2006-05-02,2006-05-02,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
DEFERASIROX,G74,List of FDA Approved Drugs,DEFERASIROX,DEFERASIROX - NDA,2005-11-02,2005-11-02,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
DEFERIPRONE,G74,List of FDA Approved Drugs,DEFERIPRONE,DEFERIPRONE - NDA,2011-10-14,2011-10-14,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
DEFIBROTIDE,G74,List of FDA Approved Drugs,DEFIBROTIDE,DEFIBROTIDE - NDA,2016-03-30,2016-03-30,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
DEFLAZACORT,G74,List of FDA Approved Drugs,DEFLAZACORT,DEFLAZACORT - NDA,2017-02-09,2017-02-09,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
DEGARELIX,G74,List of FDA Approved Drugs,DEGARELIX,DEGARELIX - NDA,2008-12-24,2008-12-24,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
DELAFLOXACIN MEGLUMINE,G74,List of FDA Approved Drugs,DELAFLOXACIN MEGLUMINE,DELAFLOXACIN MEGLUMINE - NDA,2017-06-19,2017-06-19,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
DENILEUKIN DIFTITOX,G74,List of FDA Approved Drugs,DENILEUKIN DIFTITOX,DENILEUKIN DIFTITOX - BLA,1999-02-05,1999-02-05,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
DENOSUMAB,G74,List of FDA Approved Drugs,DENOSUMAB,DENOSUMAB - BLA,2010-06-01,2010-06-01,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
DEOXYCHOLIC ACID,G74,List of FDA Approved Drugs,DEOXYCHOLIC ACID,DEOXYCHOLIC ACID - NDA,2015-04-29,2015-04-29,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
DESLORATADINE,G74,List of FDA Approved Drugs,DESLORATADINE,DESLORATADINE - NDA,2001-12-21,2001-12-21,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
DESVENLAFAXINE,G74,List of FDA Approved Drugs,DESVENLAFAXINE,DESVENLAFAXINE - NDA,2008-02-29,2008-02-29,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
DEUCRAVACITINIB,G74,List of FDA Approved Drugs,DEUCRAVACITINIB,DEUCRAVACITINIB - NDA,2022-09-09,2022-09-09,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
DEUTETRABENAZINE,G74,List of FDA Approved Drugs,DEUTETRABENAZINE,DEUTETRABENAZINE - NDA,2017-04-03,2017-04-03,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
DEXMEDETOMIDINE,G74,List of FDA Approved Drugs,DEXMEDETOMIDINE,DEXMEDETOMIDINE - NDA,1999-12-17,1999-12-17,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
DEXMETHYLPHENIDATE; SERDEXMETHYLPHENIDATE,G74,List of FDA Approved Drugs,DEXMETHYLPHENIDATE; SERDEXMETHYLPHENIDATE,DEXMETHYLPHENIDATE; SERDEXMETHYLPHENIDATE - NDA,2021-03-02,2021-03-02,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
DIENOGEST; ESTRADIOL VALERATE,G74,List of FDA Approved Drugs,DIENOGEST; ESTRADIOL VALERATE,DIENOGEST; ESTRADIOL VALERATE - NDA,2010-05-06,2010-05-06,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
DIFELIKEFALIN,G74,List of FDA Approved Drugs,DIFELIKEFALIN,DIFELIKEFALIN - NDA,2021-08-23,2021-08-23,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
DIFLUPREDNATE,G74,List of FDA Approved Drugs,DIFLUPREDNATE,DIFLUPREDNATE - NDA,2008-06-23,2008-06-23,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
DIMETHYL,G74,List of FDA Approved Drugs,DIMETHYL,DIMETHYL - NDA,2013-03-27,2013-03-27,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
DIMYRISTOYL LECITHIN; PERFLEXANE,G74,List of FDA Approved Drugs,DIMYRISTOYL LECITHIN; PERFLEXANE,DIMYRISTOYL LECITHIN; PERFLEXANE - NDA,2002-05-31,2002-05-31,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
DINUTUXIMAB,G74,List of FDA Approved Drugs,DINUTUXIMAB,DINUTUXIMAB - BLA,2015-03-10,2015-03-10,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
DOCOSANOL,G74,List of FDA Approved Drugs,DOCOSANOL,DOCOSANOL - NDA,2000-07-25,2000-07-25,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
DOFETILIDE,G74,List of FDA Approved Drugs,DOFETILIDE,DOFETILIDE - NDA,1999-10-01,1999-10-01,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
DOLUTEGRAVIR,G74,List of FDA Approved Drugs,DOLUTEGRAVIR,DOLUTEGRAVIR - NDA,2013-08-12,2013-08-12,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
DORAVIRINE,G74,List of FDA Approved Drugs,DORAVIRINE,DORAVIRINE - NDA,2018-08-30,2018-08-30,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
DORIPENEM,G74,List of FDA Approved Drugs,DORIPENEM,DORIPENEM - NDA,2007-10-12,2007-10-12,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
DOSTARLIMAB-GXLY,G74,List of FDA Approved Drugs,DOSTARLIMAB-GXLY,DOSTARLIMAB-GXLY - BLA,2021-04-22,2021-04-22,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
DOXERCALCIFEROL,G74,List of FDA Approved Drugs,DOXERCALCIFEROL,DOXERCALCIFEROL - NDA,1999-06-09,1999-06-09,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
DRONEDARONE,G74,List of FDA Approved Drugs,DRONEDARONE,DRONEDARONE - NDA,2009-07-01,2009-07-01,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
DROSPIRENONE; ESTETROL,G74,List of FDA Approved Drugs,DROSPIRENONE; ESTETROL,DROSPIRENONE; ESTETROL - NDA,2021-04-15,2021-04-15,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
DROSPIRENONE; ETHINYL ESTRADIOL,G74,List of FDA Approved Drugs,DROSPIRENONE; ETHINYL ESTRADIOL,DROSPIRENONE; ETHINYL ESTRADIOL - NDA,2001-05-11,2001-05-11,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
DROXIDOPA,G74,List of FDA Approved Drugs,DROXIDOPA,DROXIDOPA - NDA,2014-02-18,2014-02-18,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
DULAGLUTIDE,G74,List of FDA Approved Drugs,DULAGLUTIDE,DULAGLUTIDE - BLA,2014-09-18,2014-09-18,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
DULOXETINE,G74,List of FDA Approved Drugs,DULOXETINE,DULOXETINE - NDA,2004-08-03,2004-08-03,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
DUPILUMAB,G74,List of FDA Approved Drugs,DUPILUMAB,DUPILUMAB - BLA,2017-03-28,2017-03-28,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
DURVALUMAB,G74,List of FDA Approved Drugs,DURVALUMAB,DURVALUMAB - BLA,2017-05-01,2017-05-01,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
DUTASTERIDE,G74,List of FDA Approved Drugs,DUTASTERIDE,DUTASTERIDE - NDA,2001-11-20,2001-11-20,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
DUVELISIB,G74,List of FDA Approved Drugs,DUVELISIB,DUVELISIB - NDA,2018-09-24,2018-09-24,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
